ID,Title,Content,Permalink,Categories,Tags,"Resource Author","Organizational Author","Attributed Date",Link,"Alignment: JTF","Alignment: Regenerative Economies","Alignment: Democratic Systems","BIPOC Author","Added By",Notes,"Attributed Date (v2)",Status
1774,Solastalgia,"Solastalgia, Maya's first solo exhibition, featuring painting, sculpture, and performance is curated according to the Kübler-Ross model of grief. It aims to explore the psychic or existential stress that is induced by the negative aspects of climate change. The exhibition is named after the concept of solastalgia, a term coined by Dr. Glen Albrecht to describe the distress of environmental change when it directly impacts people’s livelihood and sense of home.",https://thechisholmlegacyproject.org/resource-detail/solastalgia/,Resources>Art,"Health &amp; Healing","Maya Adams",,2/23/2022,https://www.mayaadamsart.com/solastalgia,,,,Yes,Cara,,,publish
1775,"The Lost Garden","The Lost Garden&nbsp;aims capture&nbsp;somewhat obscure&nbsp;endangered or extinct plant species from around the world. Works in this&nbsp;collection are made&nbsp;in an effort to expose&nbsp;the hidden loss that is associated with threats to biodiversity.",https://thechisholmlegacyproject.org/resource-detail/the-lost-garden/,Resources>Art,"Conservation &amp; Biodiversity","Maya Adams",,2/23/2022,https://www.mayaadamsart.com/the-lost-garden,,,,Yes,Cara,,,publish
1776,"Glacier Melt Series 199/2019","In 1999, artist Olafur Eliasson photographed several dozen glaciers in Iceland as part of his on-going project to document the natural phenomena of the country; this particular series of photographs formed a work called The glacier series. Twenty years later, Eliasson decided to return to Iceland to photograph the glaciers again. A new work, The glacier melt series 1999/2019, brings together thirty pairs of images from 1999 and 2019 to reveal the dramatic impact that global warming is having on our world.",https://thechisholmlegacyproject.org/resource-detail/glacier-melt-series-199-2019/,Resources>Art,"Climate Adaptation &amp; Resilience","Olafur Eliasson",,2/23/2022,https://glaciermelt.is/,,,,,Cara,,,publish
1777,"Equitable & Just National Climate Platform Stories","The Equitable & Just National Climate Platform Stories archive shares the stories of communities who are combatting environmental racism, fighting extractivism, and creating a just future.",https://thechisholmlegacyproject.org/resource-detail/equitable-just-national-climate-platform-stories/,"Resources>Videos &amp; Webinars","Stories/Justice in Action",,"Equitable & Just National Climate Platform",2/23/2022,https://ajustclimate.org/stories.html,Yes,Yes,Yes,Yes,Cara,,,publish
1778,"Age of Uncertainty","The Age of Uncertainty is composed of 12 large hand-embroidered panels, each of which focuses on a singular uncertainty that, in Sawatzky’s words, “keeps us up at night.” There is no ranking or hierarchy among the 12 uncertainties; they are all interconnected. When grouped together, the 12 uncertainties speak to our collective angst in this second decade of the third millennium: climate change, war, nuclear threat, income inequity, debt, workplace/employment, corruption, electronic surveillance, artificial intelligence, overpopulation, the non-ethical use of science and technology, and overexploitation of resources. ",https://thechisholmlegacyproject.org/resource-detail/age-of-uncertainty/,Resources>Art,Culture,"Sandra Sawatzky",,2/23/2022,https://www.theblackgoldtapestry.com/ageofuncertainty,,,,No,Cara,,,publish
1779,"Echo of Species","Echo of Species is an auditory exploration of ecological loss and collapse through a wide variety of music styles. Each episode features an artist's unique selection of music interlaced with spoken words about the ecological collapse, from speeches, archives or recordings.",https://thechisholmlegacyproject.org/resource-detail/echo-of-species/,Resources>Podcast,Culture,,"Echo of Species",2/23/2022,https://soundcloud.com/echo-of-species,,,,,Cara,,,publish
1780,"How Social Movements Contribute to Staying Within the Global Carbon Budget: Evidence from a Qualitative Meta-Analysis of Case Studies","Despite renewed efforts to combat climate change, it remains uncertain how economies will achieve emission reduction by 2050. Among different decarbonization strategies, knowledge about the potential role and contributions of social movements to curbing carbon emissions has been limited. This study aims to shed light on the diverse contributions of social movements to staying within the global carbon budget, as well as on the specific outcomes and strategies employed in protests against hydrocarbon activities. For this purpose, we conduct a systematic literature review of 57 empirical cases of social movements contesting fossil fuel projects in 29 countries. Based on an exploratory approach, we identify a series of different movement strategies and a range of qualitative contributions that support staying within the carbon budget. ",https://thechisholmlegacyproject.org/resource-detail/how-social-movements-contribute-to-staying-within-the-global-carbon-budget-evidence-from-a-qualitative-meta-analysis-of-case-studies/,Resources>Publication,Organizing,"May Aye Thiri, Sergio Villamayor-Tomas, Arnim Scheidel, Fredrico Demaria","Ecological Economics","May 2022",https://www.sciencedirect.com/science/article/pii/S0921800922000180,,,,,Cara,,"May 2022",publish
1781,"Environmental Racism in Greater Boston: an Interactive Web Resource","Environmental racism is the disproportionate impact of environmental hazards on people of color. This series focuses on environmental racism in greater Boston, as well as efforts to promote environmental justice in the area.",https://thechisholmlegacyproject.org/resource-detail/environmental-racism-in-greater-boston-an-interactive-web-resource/,Resources>Publication,History,"Gary Adamkiewicz, Tamarra James-Todd, Lisa Frueh","Harvard Chan-NIEHS Center for Environmental Health",02/02/22,https://www.hsph.harvard.edu/niehs/environmental-racism-project/,,,,,Cara,"Available in English and Spanish",02/02/22,publish
1782,"On-Demand Digital Campaigning Training","The On-Demand Campaigning Training learning hub by Social Movement Technologies features a vast video-library of tools, technologies, and strategies to support organizers working in the digital area. Most videos are available free of charge.",https://thechisholmlegacyproject.org/resource-detail/on-demand-digital-campaigning-training/,"Resources>Videos &amp; Webinars",Organizing,,"Social Movement Technologies",2/23/2022,https://courses.socialmovementtechnologies.org/?_ga=2.5144117.701637131.1645541806-1010289108.1645541806,Yes,Yes,Yes,,Cara,,,publish
1783,"Models of Holistic Tribal Land Stewardship in the Northern Great Plains","Representing the third-phase of the First Nations Development Institute's Mapping Ecological Stewardship Opportunities Project, this report outlines best practices, strategies identified, and key lessons learned through the implementation of projects to advance ecological stewardship in the Northern Plains region.",https://thechisholmlegacyproject.org/resource-detail/models-of-holistic-tribal-land-stewardship-in-the-northern-great-plains/,Resources>Publication,"Conservation &amp; Biodiversity","Mary Adelzadeh, Jackie Francke, Emilie Ellis","First Nations Development Institute",2/23/2022,https://www.firstnations.org/wp-content/uploads/2022/02/First-Nations-MESO-Holistic-Tribal-Land-Stewardship_Digital.pdf,,,,,Cara,,,publish
